"Id","DurableId","Label","MasterLabel","NamespacePrefix","DeveloperName","LogoUrl","Description","UiType","NavType","UtilityBar","HeaderColor","IsOverrideOrgTheme","IsSmallFormFactorSupported","IsMediumFormFactorSupported","IsLargeFormFactorSupported","IsNavPersonalizationDisabled","IsNavAutoTempTabsDisabled","IsNavTabPersistenceDisabled","IsOmniPinnedViewEnabled"
"000000000000000AAA","06mfJ000000JOHyQAO","Sales","salesforce","standard","Sales","/img/salesforce-noname-logo-v2.svg","The world's most popular sales force automation (SFA) solution","Aloha","Standard","","#0070D2","false","false","false","false","false","false","false","false"
"000000000000000AAA","06mfJ000000JOIBQA4","Service","supportforce","standard","Service","/img/salesforce-noname-logo-v2.svg","Manage customer service with accounts, contacts, cases, and more","Aloha","Standard","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOI9QAO","Marketing CRM Classic","Marketing","standard","Marketing","/img/salesforce-noname-logo-v2.svg","Track sales and marketing efforts with CRM objects.","Aloha","Standard","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOHxQAO","Force.com","Force.com","","Force_com","/img/salesforce-noname-logo-v2.svg","Start Here","Aloha","Standard","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOIEQA4","Community","Community","standard","Community","/img/salesforce-noname-logo-v2.svg","Salesforce CRM Communities","Aloha","Standard","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOIFQA4","Content","Content","standard","Content","/img/salesforce-noname-logo-v2.svg","Salesforce CRM Content","Aloha","Standard","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOIHQA4","Site.com","Sites","standard","Sites","/img/salesforce-noname-logo-v2.svg","Build pixel-perfect, data-rich websites using the drag-and-drop Site.com application, and manage content and published sites.","Aloha","Standard","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOIOQA4","App Launcher","AppLauncher","standard","AppLauncher","/img/salesforce-noname-logo-v2.svg","App Launcher tabs","Aloha","Standard","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOINQA4","Sales","Sales","standard","LightningSales","/img/salesforce-noname-logo-v2.svg","Manage your sales process with accounts, leads, opportunities, and more","Lightning","Standard","LightningSales_UtilityBar","#0070D2","false","true","true","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOIMQA4","Service Console","Service Console","standard","LightningService","/img/salesforce-noname-logo-v2.svg","(Lightning Experience) Lets support agents work with multiple records across customer service channels on one screen","Lightning","Console","LightningService_UtilityBar","#802ABE","false","true","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOIQQA4","Sales Console","Sales Console","standard","LightningSalesConsole","/img/salesforce-noname-logo-v2.svg","(Lightning Experience) Lets sales reps work with multiple records on one screen","Lightning","Console","LightningSalesConsole_UtilityBar","#0070D2","false","true","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOIRQA4","Lightning Usage App","LightningInstrumentation","standard","LightningInstrumentation","/img/salesforce-noname-logo-v2.svg","View Adoption and Usage Metrics for Lightning Experience","Lightning","Standard","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOI4QAO","Digital Experiences","Salesforce CMS","standard","SalesforceCMS","/img/salesforce-noname-logo-v2.svg","Manage content and media for all of your sites.","Lightning","Console","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOI0QAO","Consumer Goods","Retail","standard","Retail","/img/salesforce-noname-logo-v2.svg","Manage your retail inventory, promotions, planograms and other instore activities","Lightning","Standard","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOI7QAO","All Tabs","AllTabSet","standard","AllTabSet","/img/salesforce-noname-logo-v2.svg","","Aloha","Standard","","#0070D2","false","false","false","false","false","false","false","false"
"000000000000000AAA","06mfJ000000JOI1QAO","Consumer Goods Visit Execution","RetailOnBrowser","standard","RetailOnBrowser","/img/salesforce-noname-logo-v2.svg","Execute retail store visits by viewing and updating visit details.","Lightning","Console","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOI8QAO","Business Rules Engine","Business Rules Engine","standard","ExpressionSetConsole","/img/salesforce-noname-logo-v2.svg","Create and maintain business rules that perform complex lookups and calculations.","Lightning","Console","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOISQA4","Bolt Solutions","LightningBolt","standard","LightningBolt","/img/salesforce-noname-logo-v2.svg","Discover and manage business solutions designed for your industry.","Lightning","Standard","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000JOIVQA4","Sales Cloud Mobile","Sales Cloud Mobile","standard","SalesCloudMobile","/img/salesforce-noname-logo-v2.svg","New seller focused mobile first experience","Lightning","Standard","","#0070D2","false","true","false","false","false","false","false","false"
"000000000000000AAA","06mfJ000000JOOPQA4","Automation","FlowsApp","standard","FlowsApp","/img/salesforce-noname-logo-v2.svg","Automate business processes and repetitive tasks.","Lightning","Standard","FlowsApp_UtilityBar","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000XBO5QAO","Security App","Security App","","Security_App","https://coresolute4-dev-ed.develop.file.force.com/file-asset/Thutech?v=1","","Lightning","Standard","Security_App_UtilityBar","#0070D2","true","true","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000XPPRQA4","Timesheet","Timesheet","","Timesheet","https://coresolute4-dev-ed.develop.file.force.com/file-asset/TimeSheet?v=1","","Lightning","Standard","Timesheet_UtilityBar","#0070D2","false","true","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000zhckQAA","Approvals","Approvals","standard","Approvals","/img/salesforce-noname-logo-v2.svg","Manage approvals and approval flows","Lightning","Console","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000000zcS1QAI","Policy Center","Policy Center","standard","DataGovernanceConsole","/img/salesforce-noname-logo-v2.svg","Policy Center","Lightning","Standard","","#0070D2","false","false","false","true","false","false","false","false"
"000000000000000AAA","06mfJ000001nZvJQAU","Data Backup","Data Backup","","Data_Backup","/img/salesforce-noname-logo-v2.svg","","Lightning","Standard","Data_Backup_UtilityBar","#0070D2","false","true","false","true","false","false","false","false"
