"Id","Name","DeveloperName","RelatedId","Type","Email","OwnerId","DoesSendEmailToMembers","DoesIncludeBosses","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp"
"00GfJ000000Ii7RUAS","International - Silver/Bronze","InternationalSilverBronze","","Queue","hi35@hi.com","005fJ000000VX7lQAG","false","true","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z"
"00GfJ000000Ii7SUAS","International - Escalations","InternationalEscalations","","Queue","hi35@hi.com","005fJ000000VX7lQAG","false","true","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z"
"00GfJ000000Ii7TUAS","International Leads","InternationalLeads","","Queue","hi35@hi.com","005fJ000000VX7lQAG","true","true","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z"
"00GfJ000000Ii7UUAS","US - Platinum/Gold","USPlatinumGold","","Queue","hi35@hi.com","005fJ000000VX7lQAG","false","true","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z"
"00GfJ000000Ii7VUAS","Partner Relations","PartnerRelations","","Queue","hi35@hi.com","005fJ000000VX7lQAG","false","true","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z"
"00GfJ000000Ii7WUAS","US Leads","USLeads","","Queue","hi35@hi.com","005fJ000000VX7lQAG","true","true","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z"
"00GfJ000000Ii7XUAS","US - Silver/Bronze","USSilverBronze","","Queue","hi35@hi.com","005fJ000000VX7lQAG","false","true","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z"
"00GfJ000000Ii7YUAS","US - Escalations","USEscalations","","Queue","hi35@hi.com","005fJ000000VX7lQAG","false","true","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z"
"00GfJ000000Ii7ZUAS","International - Platinum/Gold","InternationalPlatinumGold","","Queue","hi35@hi.com","005fJ000000VX7lQAG","false","true","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z"
"00GfJ000000Ii7aUAC","","AllInternalUsers","","Organization","","00DfJ000002QrbHUAS","false","true","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2025-01-10T09:05:53.000Z"
"00GfJ000000Ii7bUAC","","CEOA","00EfJ00000086MnUAI","Role","","00DfJ000002QrbHUAS","false","true","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z"
"00GfJ000000Ii7cUAC","","SVPSalesMarketingA","00EfJ00000086MoUAI","Role","","00DfJ000002QrbHUAS","false","true","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z"
"00GfJ000000Ii7dUAC","","VPNorthAmericanSalesA","00EfJ00000086MpUAI","Role","","00DfJ000002QrbHUAS","false","true","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z","005fJ000000VX7lQAG","2024-12-11T10:37:37.000Z"
